blobs-account,LRS,asia-pacific-east, First 50 terabyte (TB) / month ,0.024
blobs-account,LRS,asia-pacific-southeast, First 50 terabyte (TB) / month ,0.02
blobs-account,LRS,australia-central, First 50 terabyte (TB) / month ,0.025
blobs-account,LRS,australia-central-2, First 50 terabyte (TB) / month ,0.025
blobs-account,LRS,australia-east, First 50 terabyte (TB) / month ,0.02
blobs-account,LRS,australia-southeast, First 50 terabyte (TB) / month ,0.02
blobs-account,LRS,brazil-south, First 50 terabyte (TB) / month ,0.0326
blobs-account,LRS,canada-central, First 50 terabyte (TB) / month ,0.02
blobs-account,LRS,canada-east, First 50 terabyte (TB) / month ,0.02
blobs-account,LRS,central-india, First 50 terabyte (TB) / month ,0.02
blobs-account,LRS,europe-north, First 50 terabyte (TB) / month ,0.022
blobs-account,LRS,europe-west, First 50 terabyte (TB) / month ,0.0196
blobs-account,LRS,france-central, First 50 terabyte (TB) / month ,0.0192
blobs-account,LRS,france-south, First 50 terabyte (TB) / month ,0.02496
blobs-account,LRS,germany-central, First 50 terabyte (TB) / month ,0.021
blobs-account,LRS,germany-northeast, First 50 terabyte (TB) / month ,0.021
blobs-account,LRS,japan-east, First 50 terabyte (TB) / month ,0.02
blobs-account,LRS,japan-west, First 50 terabyte (TB) / month ,0.02
blobs-account,LRS,korea-central, First 50 terabyte (TB) / month ,0.02
blobs-account,LRS,korea-south, First 50 terabyte (TB) / month ,0.02
blobs-account,LRS,south-india, First 50 terabyte (TB) / month ,0.0238
blobs-account,LRS,united-kingdom-south, First 50 terabyte (TB) / month ,0.0192
blobs-account,LRS,united-kingdom-west, First 50 terabyte (TB) / month ,0.0192
blobs-account,LRS,us-central, First 50 terabyte (TB) / month ,0.0184
blobs-account,LRS,us-east, First 50 terabyte (TB) / month ,0.0208
blobs-account,LRS,us-east-2, First 50 terabyte (TB) / month ,0.0184
blobs-account,LRS,usgov-arizona, First 50 terabyte (TB) / month ,0.0296
blobs-account,LRS,usgov-texas, First 50 terabyte (TB) / month ,0.0296
blobs-account,LRS,usgov-virginia, First 50 terabyte (TB) / month ,0.0296
blobs-account,LRS,us-north-central, First 50 terabyte (TB) / month ,0.0208
blobs-account,LRS,us-south-central, First 50 terabyte (TB) / month ,0.0184
blobs-account,LRS,us-west, First 50 terabyte (TB) / month ,0.0208
blobs-account,LRS,us-west-2, First 50 terabyte (TB) / month ,0.0184
blobs-account,LRS,us-west-central, First 50 terabyte (TB) / month ,0.0184
blobs-account,LRS,west-india, First 50 terabyte (TB) / month ,0.02
blobs-account,LRS,asia-pacific-east, First 50 terabyte (TB) / month ,0.016
blobs-account,LRS,asia-pacific-southeast, First 50 terabyte (TB) / month ,0.016
blobs-account,LRS,australia-central, First 50 terabyte (TB) / month ,0.01875
blobs-account,LRS,australia-central-2, First 50 terabyte (TB) / month ,0.01875
blobs-account,LRS,australia-east, First 50 terabyte (TB) / month ,0.015
blobs-account,LRS,australia-southeast, First 50 terabyte (TB) / month ,0.015
blobs-account,LRS,brazil-south, First 50 terabyte (TB) / month ,0.0208
blobs-account,LRS,canada-central, First 50 terabyte (TB) / month ,0.011
blobs-account,LRS,canada-east, First 50 terabyte (TB) / month ,0.011
blobs-account,LRS,central-india, First 50 terabyte (TB) / month ,0.0152
blobs-account,LRS,europe-north, First 50 terabyte (TB) / month ,0.01
